# setname	status	fps_no_present	driver_file	drc	fallback	title
dynadice	OK	58.6	misc/dynadice.cpp	-	-	Dynamic Dice
supmodl2	OK	58.6	kaneko/expro02.cpp	-	-	Super Model II
missb2	OK	58.5	taito/missb2.cpp	-	-	Miss Bubble II
tm	OK	58.5	williams/tmaster.cpp	-	-	Touchmaster (v3.00 Euro)
dodgeman	OK	58.4	omori/battlex.cpp	-	-	Dodge Man
tm4k	OK	58.4	williams/tmaster.cpp	-	-	Touchmaster 4000 (v6.03 Standard)
yukon	OK	58.4	exidy/exidy440.cpp	-	mame4all	Yukon (version 2.0)
highsplt	OK	58.2	nintendo/n8080.cpp	-	mame4all	SF-HiSplitter (set 1)
magjoker	OK	58.2	misc/galaxi.cpp	-	-	Magic Joker (v1.25.10.2000)
sliver	OK	58.2	misc/sliver.cpp	-	-	Sliver (set 1)
brod	OK	58.1	misc/photon2.cpp	-	-	Brodjaga (Arcade bootleg of ZX Spectrum 'Inspector Gadget and the Circus of Fear')
formatz	OK	58.1	jaleco/aeroboto.cpp	-	mame4all	Formation Z
rampart	OK	58.1	atari/rampart.cpp	-	mame4all	Rampart (Trackball)
claypign	OK	58.0	exidy/exidy440.cpp	-	mame4all	Clay Pigeon (version 2.0)
fantsia2	OK	58.0	kaneko/expro02.cpp	-	-	Fantasia II (Explicit)
mgcs	OK	58.0	igs/igs017.cpp	-	-	Manguan Caishen (China, V103CS)
timelimt	OK	58.0	misc/timelimt.cpp	-	-	Time Limit
4enraya	OK	57.9	misc/4enraya.cpp	-	-	4 En Raya (set 1)
ghoshunt	OK	57.9	misc/tickee.cpp	-	-	Ghost Hunter
tm2k	OK	57.9	williams/tmaster.cpp	-	-	Touchmaster 2000 Plus (v4.63 Standard)
tm7k	OK	57.9	williams/tmaster.cpp	-	-	Touchmaster 7000 (v8.04 Standard)
goori	OK	57.8	unico/goori.cpp	-	-	Goori Goori
